,Price,PrivPer,F,G,H,J,K,Age,Mileage,Dispacement,Diesel,LPG,Doors5,FirstOwner,ServDealership,ABS,ElecWin,PowSteer,ParkingSens,MultiSteer,AAWheels,CruContr,OnBoardComp,Native
99,21900.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,210000.0,1698.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
100,27900.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,137200.0,1700.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
101,13500.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,260000.0,1686.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
102,13900.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,147600.0,1400.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
103,38199.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,125501.0,1598.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
104,10000.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,284000.0,1260.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
105,13490.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,238000.0,1700.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
106,8500.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,178400.0,1686.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
107,9500.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,249123.0,1596.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
108,44900.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,85880.0,1956.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,30900.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,170000.0,1700.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
110,30500.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,209146.0,1600.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
111,42999.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,90047.0,1600.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
113,26400.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,135000.0,1400.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
114,38000.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,130000.0,1686.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
116,29900.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,173190.0,1686.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
118,40900.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,60420.0,1686.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
120,31900.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,185000.0,1598.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
